id,school,level,x,y,safety,attendance,misconduct,instr,teachers,leaders,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,attendance_dev,misconduct_dev,instr_dev
0,Abraham Lincoln Elementary School,ES,4.816929649146182,-1.133688987765912,99.0,96.0,2.0,66.0,70.0,65.0,26.406791722489537,High,Low,High-Low,98.01598236428767,66.0,47.46606334841629,1.4040723981900385,-17.28190045248869,14.475113122171948
1,Adam Clayton Powell Paideia Community Academy Elementary School,ES,1.687889339391775,1.6814170186224966,54.0,95.6,15.7,84.0,76.0,63.0,27.165204641051893,High,High,High-High,81.262055662717,84.0,2.4660633484162915,1.0040723981900328,-3.5819004524886893,32.47511312217195
2,Agustin Lara Elementary Academy,ES,0.4436533054238991,0.754774440731064,56.0,95.5,10.4,37.0,48.0,65.0,9.854461105944264,Mid,High,Mid-High,86.30476715348581,37.0,4.4660633484162915,0.9040723981900385,-8.881900452488688,-14.524886877828052
3,Albany Park Multicultural Academy,MS,1.5004355584679636,-0.8012122714213736,66.0,97.0,2.3,71.0,50.0,43.0,12.244145962244762,High,Low,High-Low,94.80113897308715,71.0,16.0,1.914285714285711,-3.7142857142857144,25.857142857142854
4,Alessandro Volta Elementary School,ES,-0.0604063104663112,0.2987158293417686,43.0,96.4,22.5,37.0,56.0,62.0,19.685230155260392,Mid,Mid,Mid-Mid,74.07917700009185,37.0,-8.533936651583709,1.8040723981900442,3.2180995475113114,-14.524886877828052
5,Alexander Graham Bell Elementary School,ES,3.482128022241336,-2.237213472457775,99.0,96.3,6.3,46.0,51.0,51.0,27.43008962518672,High,Low,High-Low,94.09387342702306,46.0,47.46606334841629,1.7040723981900356,-12.981900452488688,-5.524886877828052
6,Alexander Graham Elementary School,ES,-1.348209208166203,-0.2919760892680778,49.0,92.5,27.4,33.0,41.0,30.0,27.306533920220193,Low,Mid,Low-Mid,69.77128685588316,33.0,-2.5339366515837085,-2.0959276018099615,8.11809954751131,-18.524886877828052
7,Alexander Hamilton Elementary School,ES,0.97617996323518,0.1235099222207727,73.0,95.3,12.5,59.0,48.0,59.0,8.111279536939866,High,Mid,High-Mid,85.91898594654175,59.0,21.46606334841629,0.7040723981900356,-6.781900452488689,7.475113122171948
8,Alfred David Kohn Elementary School,ES,-3.9117276465482007,-0.6784160976286935,19.0,90.1,31.2,13.0,19.0,21.0,69.2755569508889,Low,Low,Low-Low,63.30485900615413,13.0,-32.53393665158371,-4.495927601809967,11.91809954751131,-38.52488687782805
9,Alfred Nobel Elementary School,ES,-1.4083992010431126,-0.1331334047480546,37.0,94.6,24.8,35.0,36.0,48.0,20.35886471767475,Low,Mid,Low-Mid,71.2501148158354,35.0,-14.533936651583709,0.0040723981900328,5.518099547511312,-16.524886877828052
10,Amelia Earhart Options for Knowledge Elementary School,ES,1.4859694267391264,-0.6428917415085952,81.0,96.3,33.4,73.0,54.0,34.0,49.40224108929818,High,Low,High-Low,67.54845228253882,73.0,29.46606334841629,1.7040723981900356,14.11809954751131,21.475113122171948
11,Ames Middle School,MS,-2.3700057682629865,-1.98595044787547,38.0,94.3,5.3,35.0,26.0,26.0,16.48986129324889,Low,Low,Low-Low,89.22568200606229,35.0,-12.0,-0.7857142857142918,-0.7142857142857144,-10.142857142857146
12,Amos Alonzo Stagg Elementary School,ES,-2.71141326969954,-0.0488348834591725,23.0,91.4,34.3,42.0,42.0,25.0,32.55065393286246,Low,Mid,Low-Mid,60.944245430329744,42.0,-28.53393665158371,-3.195927601809956,15.018099547511309,-9.524886877828052
13,Andrew Carnegie Elementary School,ES,-0.2632287426303503,-1.2024631544478277,48.0,94.6,6.2,63.0,31.0,42.0,15.569433680966075,Mid,Low,Mid-Low,89.34509047487829,63.0,-3.5339366515837085,0.0040723981900328,-13.08190045248869,11.475113122171948
14,Anna R. Langford Community Academy,ES,-1.7813855750468557,0.8000286871463769,31.0,91.8,29.0,32.0,50.0,49.0,30.144028740491002,Low,High,Low-High,66.58399926517866,32.0,-20.53393665158371,-2.7959276018099644,9.718099547511311,-19.524886877828052
15,Annie Keller Elementary Gifted Magnet School,ES,7.742195093864778,-0.2018294600714451,99.0,97.5,4.9,82.0,82.0,94.0,54.3331877269899,High,Mid,High-Mid,95.49003398548727,82.0,47.46606334841629,2.9040723981900385,-14.381900452488688,30.475113122171948
16,Arthur E Canty Elementary School,ES,2.4570375606349635,-1.408015927228051,87.0,96.1,2.3,64.0,47.0,49.0,17.292377267452576,High,Low,High-Low,96.64737760631947,64.0,35.46606334841629,1.5040723981900328,-16.981900452488688,12.475113122171948
17,Ashburn Community Elementary School,ES,-0.0851102953995483,1.2014920449135027,48.0,95.5,28.5,40.0,70.0,68.0,20.40679004613433,Mid,High,Mid-High,68.94461284100302,40.0,-3.5339366515837085,0.9040723981900385,9.218099547511311,-11.524886877828052
18,Avalon Park Elementary School,ES,-2.705478888536428,-0.0834431242198521,32.0,92.1,52.1,32.0,16.0,32.0,33.02848392298047,Low,Mid,Low-Mid,45.485441352071284,32.0,-19.53393665158371,-2.495927601809967,32.81809954751131,-19.524886877828052
19,Belmont-Cragin Elementary School,ES,0.8425066888397428,-0.0454426687822937,75.0,95.3,1.3,66.0,53.0,45.0,12.322788369092255,High,Mid,High-Mid,96.39019013502342,66.0,23.46606334841629,0.7040723981900356,-17.981900452488688,14.475113122171948
20,Benjamin E Mays Elementary Academy,ES,-0.8456150255534828,-0.6395727124968154,27.0,95.5,0.3,48.0,37.0,41.0,29.728350832752298,Mid,Low,Mid-Low,92.91815927252686,48.0,-24.53393665158371,0.9040723981900385,-18.981900452488688,-3.5248868778280524
21,Bernhard Moos Elementary School,ES,-1.5193340901685553,-0.3114677853212019,50.0,93.0,45.5,32.0,31.0,34.0,28.288565952644547,Low,Mid,Low-Mid,53.283732892440526,32.0,-1.5339366515837085,-1.5959276018099615,26.21809954751131,-19.524886877828052
22,Beulah Shoesmith Elementary School,ES,-0.3379353406414931,-0.6716004332848217,45.0,94.7,0.3,39.0,41.0,37.0,11.558643377176546,Mid,Low,Mid-Low,94.49802516763111,39.0,-6.5339366515837085,0.10407239819004133,-18.981900452488688,-12.524886877828052
23,Burnham Elementary Inclusive Academy,ES,2.3916709102316855,1.4791832894168238,61.0,95.5,29.4,99.0,71.0,65.0,55.15255914488617,High,High,High-High,69.3120235142831,99.0,9.466063348416291,0.9040723981900385,10.11809954751131,47.47511312217195
24,Calmeca Academy of Fine Arts and Dual Language,ES,1.1340619157831844,0.4817118065016534,58.0,96.5,1.9,72.0,55.0,64.0,14.556233741620922,High,High,High-High,94.38780196564709,72.0,6.4660633484162915,1.9040723981900385,-17.38190045248869,20.475113122171948
25,Carl von Linne Elementary School,ES,1.2457656377601714,-0.4948978801834658,68.0,95.8,1.8,75.0,44.0,37.0,13.220952314720988,High,Low,High-Low,95.33388444934326,75.0,16.46606334841629,1.2040723981900356,-17.481900452488688,23.475113122171948
26,Carrie Jacobs Bond Elementary School,ES,-1.2395944506398875,0.002647426145426,54.0,91.7,18.8,63.0,32.0,39.0,30.2988764118339,Low,Mid,Low-Mid,78.05639753834848,63.0,2.4660633484162915,-2.8959276018099587,-0.48190045248868785,11.475113122171948
27,Carter G Woodson South Elementary School,ES,-4.423202303792341,-0.2904358322953939,26.0,91.9,70.5,1.0,41.0,30.0,78.06912536519276,Low,Mid,Low-Mid,28.01506383760448,1.0,-25.53393665158371,-2.695927601809956,51.218099547511315,-50.52488687782805
28,Cesar E Chavez Multicultural Academic Center Elementary School,ES,0.3595203827137522,0.6334271982730312,54.0,95.1,11.1,52.0,50.0,57.0,4.5956302738427635,Mid,High,Mid-High,85.44135207127768,52.0,2.4660633484162915,0.5040723981900328,-8.181900452488689,0.47511312217194757
29,Charles Gates Dawes Elementary School,ES,-0.2827360204640277,0.4344813373142057,44.0,95.7,35.6,30.0,54.0,60.0,30.17900378404751,Mid,Mid,Mid-Mid,62.07403325066593,30.0,-7.5339366515837085,1.1040723981900413,16.318099547511313,-21.524886877828052
30,Charles N Holden Elementary School,ES,-0.3814619067753039,-0.3759103802593792,53.0,94.9,4.7,35.0,51.0,53.0,8.257279465618101,Mid,Mid,Mid-Mid,91.20969964177459,35.0,1.4660633484162915,0.30407239819004417,-14.58190045248869,-16.524886877828052
31,Charles P Caldwell Academy of Math & Science Elementary School,ES,-2.3443319971831347,-0.3643007241878212,25.0,92.7,30.7,44.0,25.0,28.0,24.792424214235545,Low,Mid,Low-Mid,64.55405529530633,44.0,-26.53393665158371,-1.8959276018099587,11.41809954751131,-7.524886877828052
32,Charles R Darwin Elementary School,ES,-1.165751340608013,-0.8677611765811971,58.0,95.6,33.8,34.0,46.0,31.0,36.85038482256079,Low,Low,Low-Low,65.0041333700744,34.0,6.4660633484162915,1.0040723981900328,14.518099547511309,-17.524886877828052
33,Charles S Brownell Elementary School,ES,-1.6398145316438204,-0.4840462638390214,20.0,92.8,14.1,82.0,19.0,20.0,71.70925991361356,Low,Low,Low-Low,79.35152016166069,82.0,-31.53393665158371,-1.7959276018099644,-5.181900452488689,30.475113122171948
34,Charles S Deneen Elementary School,ES,-1.145156076795205,0.1342139467984223,55.0,93.8,39.5,51.0,49.0,15.0,49.88954446685937,Low,Mid,Low-Mid,59.3276384678975,51.0,3.4660633484162915,-0.7959276018099644,20.21809954751131,-0.5248868778280524
35,Charles Sumner  Math & Science Community Acad Elementary School,ES,-1.4450745755485177,-1.043000653322753,41.0,93.9,12.3,48.0,34.0,30.0,15.674255010411645,Low,Low,Low-Low,83.03481216129327,48.0,-10.533936651583709,-0.6959276018099558,-6.981900452488688,-3.5248868778280524
36,Christian Ebinger Elementary School,ES,2.3446218565624863,-1.536719067366683,78.0,95.9,9.3,50.0,62.0,26.0,38.098485222813395,High,Low,High-Low,89.37264627537431,50.0,26.46606334841629,1.3040723981900442,-9.981900452488688,-1.5248868778280524
37,Clara Barton Elementary School,ES,-1.6870794191293563,1.735148518695791,25.0,91.7,25.3,34.0,59.0,77.0,48.03183754601724,Low,High,Low-High,69.4222467162671,34.0,-26.53393665158371,-2.8959276018099587,6.018099547511312,-17.524886877828052
38,Claremont Academy Elementary School,ES,-1.2649754485271971,1.931043341703591,36.0,92.5,64.2,51.0,59.0,62.0,45.34169270707164,Low,High,Low-High,34.77542022595757,51.0,-15.533936651583709,-2.0959276018099615,44.91809954751132,-0.5248868778280524
39,Columbia Explorers Elementary Academy,ES,1.4136522764583903,1.3799230847429902,59.0,95.4,8.9,63.0,72.0,65.0,11.240490967651777,High,High,High-High,87.94892991641406,63.0,7.4660633484162915,0.8040723981900442,-10.381900452488688,11.475113122171948
40,Crispus Attucks Elementary School,ES,0.183056559460949,1.839220643997505,45.0,95.2,12.5,57.0,85.0,81.0,22.06657449825577,Mid,High,Mid-High,83.33792596674932,57.0,-6.5339366515837085,0.6040723981900413,-6.781900452488689,5.475113122171948
41,Crown Community Academy of Fine Arts Center Elementary School,ES,-2.8327692423753033,1.1260386529710005,27.0,92.5,100.5,52.0,31.0,45.0,70.97885887694886,Low,High,Low-High,0.6062276109120991,52.0,-24.53393665158371,-2.0959276018099615,81.21809954751131,0.47511312217194757
42,Daniel Boone Elementary School,ES,0.7404433829037324,0.1300854316280065,52.0,95.5,10.5,48.0,53.0,45.0,1.5578767132407776,High,Mid,High-Mid,85.84550381188573,48.0,0.4660633484162915,0.9040723981900385,-8.781900452488689,-3.5248868778280524
43,Daniel S Wentworth Elementary School,ES,-3.3286156602802848,0.5490787679901677,30.0,91.6,73.8,36.0,32.0,31.0,47.48979361211363,Low,High,Low-High,25.323780655828052,36.0,-21.53393665158371,-2.995927601809967,54.51809954751131,-15.524886877828052
44,Daniel Webster Elementary School,ES,0.8526333379075597,0.0971517965494825,48.0,94.8,5.7,66.0,44.0,46.0,9.636502280833,High,Mid,High-Mid,89.82272435014238,66.0,-3.5339366515837085,0.20407239819003564,-13.58190045248869,14.475113122171948
45,DeWitt Clinton Elementary School,ES,0.0943653923112687,-1.0337810742258966,47.0,95.3,14.8,52.0,36.0,41.0,10.657964824620475,Mid,Low,Mid-Low,81.41820519886103,52.0,-4.5339366515837085,0.7040723981900356,-4.481900452488688,0.47511312217194757
46,Donald Morrill Math & Science Elementary School,ES,-2.4212241166647943,-0.7865095670669926,28.0,93.4,19.6,39.0,32.0,35.0,21.605777321006986,Low,Low,Low-Low,75.089556351612,39.0,-23.53393665158371,-1.1959276018099558,0.31809954751131286,-12.524886877828052
47,Dunne Technology Academy,ES,1.1869991409139171,1.4097291307907789,46.0,94.6,22.8,71.0,59.0,51.0,22.37338868769398,High,High,High-High,73.91384219711583,71.0,-5.5339366515837085,0.0040723981900328,3.518099547511312,19.475113122171948
48,Durkin Park Elementary School,ES,2.031583624337486,1.8386165805409576,61.0,95.4,0.7,58.0,74.0,88.0,20.320881335297507,High,High,High-High,95.6645540552953,58.0,9.466063348416291,0.8040723981900442,-18.58190045248869,6.475113122171948
49,Dvorak Technology Academy,ES,-1.6085813553128523,-2.4476777237010747,46.0,94.2,4.4,69.0,13.0,4.0,67.28179414478468,Low,Low,Low-Low,90.77799210067052,69.0,-5.5339366515837085,-0.3959276018099587,-14.881900452488688,17.475113122171948
50,Edgar Allan Poe Elementary Classical School,ES,5.087001959208171,-3.28296963593714,99.0,97.6,0.0,88.0,41.0,27.0,67.59195904091781,High,Low,High-Low,100.0,88.0,47.46606334841629,3.004072398190033,-19.28190045248869,36.47511312217195
51,Edgebrook Elementary School,ES,4.2070821896065285,-1.158218114462107,99.0,96.9,3.4,53.0,70.0,66.0,27.729833135840504,High,Low,High-Low,96.81271240929549,53.0,47.46606334841629,2.304072398190044,-15.881900452488688,1.4751131221719476
52,Edward A Bouchet Math & Science Academy Elementary School,ES,-1.3442498692045928,1.0875237527693775,33.0,92.9,28.0,50.0,58.0,53.0,21.528392827381104,Low,High,Low-High,67.78726922017084,50.0,-18.53393665158371,-1.6959276018099558,8.718099547511311,-1.5248868778280524
53,Edward C Delano Elementary School,ES,0.1278804472941138,2.282061255747838,38.0,93.4,20.3,52.0,79.0,63.0,34.8128504161261,Mid,High,Mid-High,75.36511435657206,52.0,-13.533936651583709,-1.1959276018099558,1.0180995475113122,0.47511312217194757
54,Edward Coles Elementary Language Academy,ES,-0.7811233172959531,0.8977902109808649,22.0,95.1,24.9,54.0,53.0,52.0,31.027896757485546,Mid,High,Mid-High,69.82639845687517,54.0,-29.53393665158371,0.5040723981900328,5.61809954751131,2.4751131221719476
55,Edward Jenner Elementary Academy of the Arts,ES,-2.44885146061447,-0.1022319480771032,50.0,88.9,16.0,41.0,26.0,20.0,61.971220633057236,Low,Mid,Low-Mid,80.0036741067328,41.0,-1.5339366515837085,-5.695927601809956,-3.2819004524886886,-10.524886877828052
56,Edward N Hurley Elementary School,ES,0.528755344533931,-0.3415689914678025,77.0,95.4,12.2,49.0,54.0,43.0,14.199408437287753,Mid,Mid,Mid-Mid,86.57113989161385,49.0,25.46606334841629,0.8040723981900442,-7.081900452488689,-2.5248868778280524
57,Elaine O Goodlow Elementary Magnet School,ES,-2.2005081197570813,-0.1198343500240846,44.0,91.6,47.5,56.0,28.0,35.0,35.80468580250085,Low,Mid,Low-Mid,50.766969780472124,56.0,-7.5339366515837085,-2.995927601809967,28.21809954751131,4.475113122171948
58,Elizabeth Peabody Elementary School,ES,-0.3690715765616223,0.1841155515167723,51.0,95.2,7.6,61.0,55.0,57.0,7.3459922844646215,Mid,Mid,Mid-Mid,88.38982272435013,61.0,-0.5339366515837085,0.6040723981900413,-11.681900452488689,9.475113122171948
59,Eliza Chappell Elementary School,ES,0.9150538958253014,-0.1306955886023478,70.0,95.1,2.9,51.0,48.0,56.0,6.161330716579673,High,Mid,High-Mid,94.4429135666391,51.0,18.46606334841629,0.5040723981900328,-16.38190045248869,-0.5248868778280524
60,Ellen Mitchell Elementary School,ES,3.3916621372493707,1.3402371884592352,99.0,95.5,12.2,95.0,90.0,81.0,57.53305283389298,High,High,High-High,88.60108386148617,95.0,47.46606334841629,0.9040723981900385,-7.081900452488689,43.47511312217195
61,Emiliano Zapata Elementary Academy,ES,1.4704386200766564,0.989105096170906,60.0,96.6,2.8,42.0,79.0,73.0,22.012526678003116,High,High,High-High,93.75401855423901,42.0,8.466063348416291,2.004072398190033,-16.481900452488688,-9.524886877828052
62,Emmett Louis Till Math and Science Academy,ES,-4.152832146089644,1.6139487829437746,31.0,88.0,95.7,40.0,42.0,49.0,100.0,Low,High,Low-High,4.9692293561127965,40.0,-20.53393665158371,-6.5959276018099615,76.41809954751132,-11.524886877828052
63,Enrico Fermi Elementary School,ES,-3.5864082698049913,1.6244030176199409,30.0,89.9,101.2,63.0,47.0,42.0,85.9267305520151,Low,High,Low-High,0.0,63.0,-21.53393665158371,-4.695927601809956,81.91809954751132,11.475113122171948
64,Eugene Field Elementary School,ES,-1.6410468504295714,-2.2945210026616834,42.0,96.8,10.0,37.0,8.0,21.0,37.71006513184967,Low,Low,Low-Low,85.50564893910169,37.0,-9.533936651583709,2.2040723981900356,-9.281900452488689,-14.524886877828052
65,Evergreen Academy Middle School,MS,0.2349579533754736,0.2781348246301142,60.0,96.1,5.5,44.0,65.0,59.0,15.85380062178359,Mid,Mid,Mid-Mid,91.22807017543859,44.0,10.0,1.0142857142857054,-0.5142857142857142,-1.142857142857146
66,Fairfield Elementary Academy,ES,-2.6610284122831924,-0.094187250459486,31.0,93.4,43.4,34.0,25.0,45.0,25.2182728499955,Low,Mid,Low-Mid,53.50417929640856,34.0,-20.53393665158371,-1.1959276018099558,24.11809954751131,-17.524886877828052
67,Federico Garcia Lorca Elementary School,ES,0.3318788631724695,1.739563307672941,53.0,96.8,43.8,58.0,82.0,74.0,54.87847287782477,Mid,High,Mid-High,55.46982639845688,58.0,1.4660633484162915,2.2040723981900356,24.51809954751131,6.475113122171948
68,Ferdinand Peck Elementary School,ES,0.2099580435233102,-1.0940054438426745,51.0,96.3,1.2,47.0,37.0,32.0,11.48977288175351,Mid,Low,Mid-Low,94.3694314319831,47.0,-0.5339366515837085,1.7040723981900356,-18.08190045248869,-4.524886877828052
69,Fernwood Elementary School,ES,-2.0670701214354117,-0.1208372414586936,29.0,93.4,29.0,43.0,50.0,39.0,20.82084258767066,Low,Mid,Low-Mid,66.54725819785064,43.0,-22.53393665158371,-1.1959276018099558,9.718099547511311,-8.524886877828052
70,Florence Nightingale Elementary School,ES,-0.3473231982241171,0.9470652579783678,35.0,95.6,9.4,48.0,72.0,68.0,20.64981761037305,Mid,High,Mid-High,85.30357306879765,48.0,-16.53393665158371,1.0040723981900328,-9.881900452488688,-3.5248868778280524
71,Foster Park Elementary School,ES,-3.012815598274949,0.0137578407898416,11.0,93.7,33.6,22.0,46.0,50.0,47.44042004874439,Low,Mid,Low-Mid,60.69624322586571,22.0,-40.53393665158371,-0.8959276018099587,14.318099547511313,-29.524886877828052
72,Francisco I Madero Middle School,MS,-0.9935366650320044,-0.8565720863187852,49.0,95.1,7.1,47.0,34.0,49.0,10.154078594903622,Low,Low,Low-Low,88.65619546247818,47.0,-1.0,0.014285714285705353,1.0857142857142854,1.857142857142854
73,Francis M McKay Elementary School,ES,-0.9382654152241484,1.4066287014923904,23.0,93.5,9.1,54.0,61.0,67.0,31.425279396047074,Mid,High,Mid-High,84.28400845044548,54.0,-28.53393665158371,-1.0959276018099615,-10.181900452488689,2.4751131221719476
74,Francis Parkman Elementary School,ES,-2.974763740511285,-0.7298216600849134,38.0,90.6,20.7,39.0,28.0,20.0,36.751599425733104,Low,Low,Low-Low,74.74051621199595,39.0,-13.533936651583709,-3.995927601809967,1.4180995475113107,-12.524886877828052
75,Frank I Bennett Elementary School,ES,-0.2209229295475056,1.0298802565201155,46.0,92.5,6.5,66.0,56.0,55.0,27.87349135986658,Mid,High,Mid-High,88.69293652980619,66.0,-5.5339366515837085,-2.0959276018099615,-12.781900452488689,14.475113122171948
